Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
167,Exit short,2025-03-02 12:00,Buy signal — close short,87380.84,24.033536,2290370.986,188544.25,8.23,1756.18,409554.06,17.87,-39847.83,-1.74,1478914,147.89,53
167,Entry short,2025-02-21 16:00,Sell,95298.96,24.033536,2290370.986,188544.25,8.23,1756.18,409554.06,17.87,-39847.83,-1.74,1478914,147.89,53
168,Exit long,2025-03-03 16:00,Sell signal — close long,85624.1,28.367351,2478762.959,-51797.14,-2.09,1963.08,214305.34,8.64,-51870.05,-2.09,1427116.9,142.71,7
168,Entry long,2025-03-02 12:00,Buy,87380.84,28.367351,2478762.959,-51797.14,-2.09,1963.08,214305.34,8.64,-51870.05,-2.09,1427116.9,142.71,7
169,Exit short,2025-03-06 00:00,Buy signal — close short,91602.26,28.346203,2427118.12,-171467.61,-7.06,2009.48,116490.43,4.80,-182126.05,-7.50,1255649.2,125.56,14
169,Entry short,2025-03-03 16:00,Sell,85624.1,28.346203,2427118.12,-171467.61,-7.06,2009.48,116490.43,4.80,-182126.05,-7.50,1255649.2,125.56,14
170,Exit long,2025-03-09 12:00,Sell signal — close long,83055.33,24.625878,2255786.079,-212196.1,-9.40,1720.44,28658.1,1.27,-218266.56,-9.67,1043453.2,104.35,21
170,Entry long,2025-03-06 00:00,Buy,91602.26,24.625878,2255786.079,-212196.1,-9.40,1720.44,28658.1,1.27,-218266.56,-9.67,1043453.2,104.35,21
171,Exit short,2025-03-19 16:00,Buy signal — close short,85416.07,24.603531,2043454.386,-59740.53,-2.92,1658,158037.78,7.73,-71155.19,-3.48,983712.6,98.37,61
171,Entry short,2025-03-09 12:00,Sell,83055.33,24.603531,2043454.386,-59740.53,-2.92,1658,158037.78,7.73,-71155.19,-3.48,983712.6,98.37,61
172,Exit long,2025-03-28 04:00,Sell signal — close long,85200.58,23.224672,1983760.209,-6589.69,-0.33,1585.01,76914.39,3.88,-53831.46,-2.71,977122.94,97.71,51
172,Entry long,2025-03-19 16:00,Buy,85416.07,23.224672,1983760.209,-6589.69,-0.33,1585.01,76914.39,3.88,-53831.46,-2.71,977122.94,97.71,51
173,Exit short,2025-04-01 12:00,Buy signal — close short,85260.43,23.205523,1977124.019,-2971.11,-0.15,1582.25,90201.95,4.56,-8843.86,-0.45,974151.8,97.42,26
173,Entry short,2025-03-28 04:00,Sell,85200.58,23.205523,1977124.019,-2971.11,-0.15,1582.25,90201.95,4.56,-8843.86,-0.45,974151.8,97.42,26
174,Exit long,2025-04-02 20:00,Sell signal — close long,82519.47,23.154399,1974154.015,-65019.22,-3.29,1553.94,73176.6,3.71,-68371.56,-3.46,909132.6,90.91,8
174,Entry long,2025-04-01 12:00,Buy,85260.43,23.154399,1974154.015,-65019.22,-3.29,1553.94,73176.6,3.71,-68371.56,-3.46,909132.6,90.91,8
175,Exit short,2025-04-09 16:00,Buy signal — close short,82233.53,23.135554,1909133.654,5090.72,0.27,1524.66,185733.2,9.72,-50972.89,-2.67,914223.3,91.42,41
175,Entry short,2025-04-02 20:00,Sell,82519.47,23.135554,1909133.654,5090.72,0.27,1524.66,185733.2,9.72,-50972.89,-2.67,914223.3,91.42,41
