Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
112,Exit long,2024-02-27 00:00,Long TP,55705.04,42.056158,1735362.827,605745.9,34.89,1631.24,606683,34.95,-16044.22,-0.92,1341200.8,134.12,190
112,Entry long,2024-01-26 08:00,Buy,41262.99,42.056158,1735362.827,605745.9,34.89,1631.24,606683,34.95,-16044.22,-0.92,1341200.8,134.12,190
113,Exit short,2024-03-06 08:00,Short SL,67596.95,38.082962,2340264.66,-235993.23,-10.08,1965.82,4082.47,0.17,-234963.53,-10.04,1105207.6,110.52,4
113,Entry short,2024-03-05 16:00,Sell,61451.75,38.082962,2340264.66,-235993.23,-10.08,1965.82,4082.47,0.17,-234963.53,-10.04,1105207.6,110.52,4
114,Exit long,2024-03-14 16:00,Sell signal — close long,69433.2,30.188907,2104365.763,-9933.54,-0.47,1680.19,122892.92,5.84,-75536.05,-3.59,1095274,109.53,26
114,Entry long,2024-03-10 08:00,Buy,69706.59,30.188907,2104365.763,-9933.54,-0.47,1680.19,122892.92,5.84,-75536.05,-3.59,1095274,109.53,26
115,Exit short,2024-03-25 12:00,Buy signal — close short,69777.43,30.176845,2095274.914,-12068.15,-0.58,1680.38,260859.4,12.44,-89997.71,-4.29,1083205.9,108.32,65
115,Entry short,2024-03-14 16:00,Sell,69433.2,30.176845,2095274.914,-12068.15,-0.58,1680.38,260859.4,12.44,-89997.71,-4.29,1083205.9,108.32,65
116,Exit long,2024-04-01 12:00,Sell signal — close long,68249.14,29.855147,2083215.43,-47275.64,-2.27,1648.32,57356.79,2.75,-47858.73,-2.30,1035930.25,103.59,42
116,Entry long,2024-03-25 12:00,Buy,69777.43,29.855147,2083215.43,-47275.64,-2.27,1648.32,57356.79,2.75,-47858.73,-2.30,1035930.25,103.59,42
117,Exit short,2024-04-07 00:00,Buy signal — close short,69421.2,29.830874,2035931.496,-36606.3,-1.80,1642.73,110229.86,5.41,-50095.87,-2.46,999323.94,99.93,33
117,Entry short,2024-04-01 12:00,Sell,68249.14,29.830874,2035931.496,-36606.3,-1.80,1642.73,110229.86,5.41,-50095.87,-2.46,999323.94,99.93,33
118,Exit long,2024-04-10 12:00,Sell signal — close long,68633.51,28.800325,1999353.122,-24276.14,-1.21,1590.41,95161.79,4.76,-56024.08,-2.80,975047.8,97.50,21
118,Entry long,2024-04-07 00:00,Buy,69421.2,28.800325,1999353.122,-24276.14,-1.21,1590.41,95161.79,4.76,-56024.08,-2.80,975047.8,97.50,21
