Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
44,Entry short,2023-11-21 20:00,Sell,35772.41,36.383061,1301509.775,-90467.23,-6.95,1076.96,3628.52,0.28,-96462.01,-7.41,211040.64,21.10,16
45,Exit long,2023-11-27 12:00,Sell signal — close long,36764.13,31.680231,1211114.005,-47368.2,-3.91,950.32,3411.27,0.28,-47127.57,-3.89,163672.44,16.37,18
45,Entry long,2023-11-24 12:00,Buy,38229.33,31.680231,1211114.005,-47368.2,-3.91,950.32,3411.27,0.28,-47127.57,-3.89,163672.44,16.37,18
46,Exit short,2023-11-28 16:00,Buy signal — close short,38119.43,31.652431,1163674.088,-43846.64,-3.77,948.1,259.05,0.02,-51000.48,-4.38,119825.8,11.98,7
46,Entry short,2023-11-27 12:00,Sell,36764.13,31.652431,1163674.088,-43846.64,-3.77,948.1,259.05,0.02,-51000.48,-4.38,119825.8,11.98,7
47,Exit long,2023-12-11 00:00,Long SL/Trail,42479.62,29.377714,1119861.712,127145.29,11.35,947.13,193327.75,17.26,-18251.13,-1.63,246971.1,24.70,74
47,Entry long,2023-11-28 16:00,Buy,38119.43,29.377714,1119861.712,127145.29,11.35,947.13,193327.75,17.26,-18251.13,-1.63,246971.1,24.70,74
48,Exit short,2023-12-13 16:00,Short SL/Trail,42246.13,29.459182,1246472.49,939.65,0.08,996.4,60702.27,4.87,-5496.93,-0.44,247910.75,24.79,16
48,Entry short,2023-12-11 00:00,Sell,42311.85,29.459182,1246472.49,939.65,0.08,996.4,60702.27,4.87,-5496.93,-0.44,247910.75,24.79,16
49,Exit long,2023-12-26 12:00,Sell signal — close long,42398.04,28.825581,1247411.74,-26251.43,-2.10,987.82,31796.64,2.55,-80046.04,-6.41,221659.31,22.17,73
49,Entry long,2023-12-14 08:00,Buy,43274.47,28.825581,1247411.74,-26251.43,-2.10,987.82,31796.64,2.55,-80046.04,-6.41,221659.31,22.17,73
50,Exit short,2024-01-01 16:00,Buy signal — close short,43507.6,28.814083,1221660.644,-32961.07,-2.70,990.12,29065.94,2.38,-41306.98,-3.38,188698.25,18.87,37
50,Entry short,2023-12-26 12:00,Sell,42398.04,28.814083,1221660.644,-32961.07,-2.70,990.12,29065.94,2.38,-41306.98,-3.38,188698.25,18.87,37
51,Exit long,2024-01-03 08:00,Long SL/Trail,43599.47,27.322246,1188725.35,1558.11,0.13,951.98,64732.6,5.44,-4105.8,-0.35,190256.36,19.03,10
51,Entry long,2024-01-01 16:00,Buy,43507.6,27.322246,1188725.35,1558.11,0.13,951.98,64732.6,5.44,-4105.8,-0.35,190256.36,19.03,10
52,Exit short,2024-01-03 12:00,Short SL/Trail,42998.36,27.214488,1189780.404,18658.07,1.57,943.98,76801.8,6.45,-739.89,-0.06,208914.42,20.89,1
52,Entry short,2024-01-03 08:00,Sell,43718.64,27.214488,1189780.404,18658.07,1.57,943.98,76801.8,6.45,-739.89,-0.06,208914.42,20.89,1
53,Exit long,2024-01-11 16:00,Long SL/Trail,46517.09,25.706999,1208431.01,-13577.92,-1.12,961.7,49839.36,4.12,-68787.12,-5.69,195336.5,19.53,18
53,Entry long,2024-01-08 16:00,Buy,47007.86,25.706999,1208431.01,-13577.92,-1.12,961.7,49839.36,4.12,-68787.12,-5.69,195336.5,19.53,18
54,Exit short,2024-01-24 08:00,Short SL/Trail,40439.91,26.871955,1194858.523,107246.46,8.97,912.62,159429.81,13.34,-5929.19,-0.50,302582.97,30.26,71
54,Entry short,2024-01-12 12:00,Sell,44464.89,26.871955,1194858.523,107246.46,8.97,912.62,159429.81,13.34,-5929.19,-0.50,302582.97,30.26,71
55,Exit long,2024-02-28 20:00,Long SL/Trail,60799.39,31.55519,1302062.121,615185.94,47.23,1288.24,716930.3,55.04,-12038.78,-0.92,917768.9,91.78,201
55,Entry long,2024-01-26 08:00,Buy,41263.01,31.55519,1302062.121,615185.94,47.23,1288.24,716930.3,55.04,-12038.78,-0.92,917768.9,91.78,201
56,Exit short,2024-03-10 08:00,Buy signal — close short,69706.61,31.19525,1917002.08,-259149.66,-13.51,1636.61,3343.49,0.17,-270136.84,-14.09,658619.25,65.86,28
56,Entry short,2024-03-05 16:00,Sell,61451.73,31.19525,1917002.08,-259149.66,-13.51,1636.61,3343.49,0.17,-270136.84,-14.09,658619.25,65.86,28
57,Exit long,2024-03-12 16:00,Long SL/Trail,69319.11,23.797266,1658826.74,-10544.81,-0.64,1323.37,76937.45,4.64,-59543.92,-3.59,648074.44,64.81,14
57,Entry long,2024-03-10 08:00,Buy,69706.61,23.797266,1658826.74,-10544.81,-0.64,1323.37,76937.45,4.64,-59543.92,-3.59,648074.44,64.81,14
