Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
105,Exit long,2025-02-01 20:00,Sell signal — close long,100607.43,23.196423,2401190.485,-69351.95,-2.89,1893.97,66433.95,2.77,-76509.6,-3.19,1331795.4,133.18,19
105,Entry long,2025-01-29 16:00,Buy,103515.55,23.196423,2401190.485,-69351.95,-2.89,1893.97,66433.95,2.77,-76509.6,-3.19,1331795.4,133.18,19
106,Exit short,2025-02-03 08:00,Short SL/Trail,95829.51,23.177185,2331797.017,108917.59,4.67,1821.14,215571.62,9.24,-20087.04,-0.86,1440712.9,144.07,9
106,Entry short,2025-02-01 20:00,Sell,100607.43,23.177185,2331797.017,108917.59,4.67,1821.14,215571.62,9.24,-20087.04,-0.86,1440712.9,144.07,9
107,Exit long,2025-02-11 16:00,Sell signal — close long,95059.2,23.953097,2439736.946,-164661.39,-6.75,1886.68,12884.56,0.53,-171423.73,-7.02,1276051.5,127.61,48
107,Entry long,2025-02-03 16:00,Buy,101854.76,23.953097,2439736.946,-164661.39,-6.75,1886.68,12884.56,0.53,-171423.73,-7.02,1276051.5,127.61,48
108,Exit short,2025-02-20 16:00,Buy signal — close short,98416.47,23.94353,2276052.807,-82237.89,-3.61,1853,39136.81,1.72,-91275.46,-4.01,1193813.6,119.38,54
108,Entry short,2025-02-11 16:00,Sell,95059.2,23.94353,2276052.807,-82237.89,-3.61,1853,39136.81,1.72,-91275.46,-4.01,1193813.6,119.38,54
109,Exit long,2025-02-21 16:00,Sell signal — close long,95298.94,22.291793,2193879.577,-71222.64,-3.25,1727.31,23180.87,1.06,-71123.9,-3.24,1122591,112.26,6
109,Entry long,2025-02-20 16:00,Buy,98416.47,22.291793,2193879.577,-71222.64,-3.25,1727.31,23180.87,1.06,-71123.9,-3.24,1122591,112.26,6
